2019-04-07 15:40:15,618 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="b3cf2704-f254-4bcd-aaf1-dfcd96d1bd97")>
2019-04-07 15:40:32,201 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:32,201 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,212 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:32,282 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:32,282 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,399 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:32,399 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,470 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:32,470 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,595 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：123456, 验证码:
2019-04-07 15:40:32,595 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:40:32,595 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,611 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:32,823 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:32,823 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,869 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:32,958 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码： 操作
2019-04-07 15:40:32,958 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,999 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:33,094 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:33,094 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,241 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:33,241 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,279 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:33,279 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,402 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001112 密码：123456, 验证码:8888
2019-04-07 15:40:33,403 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001112 操作
2019-04-07 15:40:33,403 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,507 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:33,644 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:33,644 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,656 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:33,713 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:33,714 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,726 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:33,862 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:33,862 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:33,939 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:33,939 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:35,528 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:35,529 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:35,659 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：138000011112 密码：123456, 验证码:8888
2019-04-07 15:40:35,659 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：138000011112 操作
2019-04-07 15:40:35,659 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:35,680 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:35,859 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:35,859 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:35,870 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:35,974 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:35,974 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:35,991 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:36,087 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:36,087 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,209 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:36,209 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,259 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:36,259 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,352 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：1234566, 验证码:8888
2019-04-07 15:40:36,353 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:40:36,353 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,481 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:36,598 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：1234566 操作
2019-04-07 15:40:36,598 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,611 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:36,682 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:36,682 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,715 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:36,771 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:36,772 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:36,859 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:36,859 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,275 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:39,275 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,348 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：123456, 验证码:88889
2019-04-07 15:40:39,348 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:40:39,348 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,450 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:39,594 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:39,594 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,603 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:39,698 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：88889 操作
2019-04-07 15:40:39,699 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,714 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:39,799 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:39,799 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:39,882 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:39,882 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:40,414 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:40,414 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:47:42,840 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="a8b090d0-aec4-4b34-93b1-eef0a95e4e40")>
2019-04-07 15:47:42,840 INFO [root] [page_login.py (page_click_login_link:12] - [page_loging] 执行：('partial link text', '登录') 点击链接操作
2019-04-07 15:47:42,840 INFO [root] [base.py (base_click:26] - [base]: 正在对:('partial link text', '登录') 元素实行点击事件
2019-04-07 15:47:42,841 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '登录') 元素，默认定位超时时间为: 30
2019-04-07 15:47:43,172 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：1234566, 验证码:8888
2019-04-07 15:47:43,173 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:47:43,173 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:47:46,192 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:47:46,307 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：1234566 操作
2019-04-07 15:47:46,308 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:47:46,344 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:47:46,408 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:47:46,409 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:47:46,422 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:47:46,507 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:47:46,507 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:47:46,663 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:47:46,663 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:47:48,311 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:47:48,312 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:47:48,531 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：123456, 验证码:88889
2019-04-07 15:47:48,532 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:47:48,532 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:47:48,545 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:47:48,717 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:47:48,717 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:47:48,730 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:47:48,850 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：88889 操作
2019-04-07 15:47:48,850 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:47:48,873 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:47:48,959 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:47:48,959 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:47:49,052 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:47:49,053 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:47:50,711 INFO [root] [base.py (base_get_image:46] - [base]: 断言出错，调用截图
2019-04-07 15:47:51,022 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:47:51,022 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:49:38,955 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="ceecef21-ff2c-46fb-ba67-c725922b92ae")>
2019-04-07 15:49:38,956 INFO [root] [page_login.py (page_click_login_link:12] - [page_loging] 执行：('partial link text', '登录') 点击链接操作
2019-04-07 15:49:38,956 INFO [root] [base.py (base_click:26] - [base]: 正在对:('partial link text', '登录') 元素实行点击事件
2019-04-07 15:49:38,956 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '登录') 元素，默认定位超时时间为: 30
2019-04-07 15:49:42,258 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：1234566, 验证码:8888
2019-04-07 15:49:42,258 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:49:42,258 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:49:42,350 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:49:42,473 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：1234566 操作
2019-04-07 15:49:42,474 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:49:42,498 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:49:42,567 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:49:42,568 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:49:42,579 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:49:42,652 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:49:42,652 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:49:43,344 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:49:43,345 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:49:44,941 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:49:44,941 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:49:45,037 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：123456, 验证码:88889
2019-04-07 15:49:45,037 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:49:45,037 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:49:45,077 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
